label,model,quality,size,ap_cost,latency_ms,wall_s,bytes,image_id,cached,balance_after,ts
pilot-Mei-01-front,gpt-image-2.5-flare,medium,1024x1024,1600,14093,14.9,906609,f6f13036-fcc3-4868-9ca2-ed1e9cad609d,False,10108,2026-09-21 03:20:47
pilot-Mei-07-expressions,gpt-image-2.5-flare,medium,1536x1024,2300,13262,13.8,2095052,67bde76f-65e4-4a74-b299-5d61155ac3d1,False,7808,2026-09-21 03:21:02
ref-Mei-01-front,gpt-image-2.5-flare,medium,1024x1024,MeiSoleil/MeiSoleil.png,1600,15952,17.2,960681,79ed34bc-d941-4b29-b625-8f201ada7fbd,False,6208,2026-09-21 03:22:07
ref-Mei-01-chibi,gpt-image-2.5-flare,medium,1024x1024,MeiSoleil/MeiSoleil.png,1600,14981,15.8,1026163,e0dc598f-023e-4e4f-996b-449ddabe4618,False,4608,2026-09-21 03:22:52
Mei-01-standing-front,gpt-image-2.5-flare,medium,1024x1024,MeiSoleil/MeiSoleil.png,1600,23667,24.8,1003261,b08ea7f4-3177-467f-bd7c-fd3775b69d8f,False,7010431,2026-09-21 19:17:22
Mei-02-standing-side,gpt-image-2.5-flare,medium,1024x1024,MeiSoleil/MeiSoleil.png,1600,16455,17.3,984586,3a6f55d4-3d4f-4cb1-b3ae-d9d59c90134d,False,7008831,2026-09-21 19:17:40
Mei-03-standing-back,gpt-image-2.5-flare,medium,1024x1024,MeiSoleil/MeiSoleil.png,1600,20165,21.2,973300,e8f21e1f-0383-41ba-8ff6-9a5a013d9ea0,False,7007231,2026-09-21 19:18:02
Mei-04-bust-up,gpt-image-2.5-flare,medium,1024x1024,MeiSoleil/MeiSoleil.png,1600,19351,20.2,1166601,f666b32f-cb2d-4fec-885d-6cf8c8d39879,False,7005631,2026-09-21 19:18:23
Mei-05-eyes-closeup,gpt-image-2.5-flare,medium,1024x1024,MeiSoleil/MeiSoleil.png,1600,40621,41.4,1082533,252b4e1b-ff77-44d0-ba51-ff816ec0cd6b,False,7004031,2026-09-21 19:19:05
Mei-06-accessories,gpt-image-2.5-flare,medium,1536x1024,MeiSoleil/MeiSoleil.png,2300,17983,19.2,1686129,adac1dee-e784-47d5-9a30-e03390bc7816,False,7001731,2026-09-21 19:19:24
Mei-07-expressions,gpt-image-2.5-flare,medium,1536x1024,MeiSoleil/MeiSoleil.png,2300,18405,19.4,1730554,cbec0eff-4861-43c0-b12a-b7080611d46a,False,6999431,2026-09-21 19:19:45
Saki-01-standing-front,gpt-image-2.5-flare,medium,1024x1024,SakiNoire/SakiNoire.png,1600,15883,17.0,1017205,2612f72c-b649-402a-a5fa-c0c7eb571ee8,False,6582969,2026-09-22 03:17:20
Saki-02-standing-side,gpt-image-2.5-flare,medium,1024x1024,SakiNoire/SakiNoire.png,1600,14646,15.6,961824,3236678b-620e-4bb9-9225-fef42b3edab6,False,6581369,2026-09-22 03:17:36
Saki-03-standing-back,gpt-image-2.5-flare,medium,1024x1024,SakiNoire/SakiNoire.png,1600,15741,16.6,951506,da09ae27-b5b5-40ad-a7c1-027f95003703,False,6579769,2026-09-22 03:17:53
Saki-04-bust-up,gpt-image-2.5-flare,medium,1024x1024,SakiNoire/SakiNoire.png,1600,15369,16.3,1105067,590c48af-2324-4eb3-bb55-fc5dc9c1ddf3,False,6578169,2026-09-22 03:18:10
Saki-05-eyes-closeup,gpt-image-2.5-flare,medium,1024x1024,SakiNoire/SakiNoire.png,1600,17229,18.5,1131163,782b811c-f90e-412f-9220-0ecedd1251fd,False,6576569,2026-09-22 03:18:29
Saki-06-accessories,gpt-image-2.5-flare,medium,1536x1024,SakiNoire/SakiNoire.png,2300,17788,18.8,1719025,f484d1f7-1218-4eb7-ab68-9afe2784c2e0,False,6574269,2026-09-22 03:18:48
Saki-07-expressions,gpt-image-2.5-flare,medium,1536x1024,SakiNoire/SakiNoire.png,2300,15923,17.1,1515854,1c87ef04-114c-4f7b-8f03-cf8095da6392,False,6571969,2026-09-22 03:19:06
